English,日本語
Computer terminal,端末
Vulnerability,脆弱性
Weakness,弱点
Information,情報
Secret,秘密
Confidential,機密
Top Secret,厳秘
Eavesdrop,盗聴
Identity Theft,なりすまし
Defence,防御
Attack,攻撃
Envrionment,環境
Jump Server,踏み台サーバー
Isolation,隔離
Scammer,詐欺師
Scam,詐欺
Phishing,フィッシング
Manipulate / Pull strings,操る
Deceive,騙す
Quarantine,検疫
